speed,heading_error,checkpoint_distance,ray_0_front,ray_1_+45,ray_2_+90,ray_3_+135,ray_4_back,ray_5_-135,ray_6_-90,ray_7_-45,ground_friction,throttle,steering
18.2658,0.0573,19.2024,50.0000,50.0000,48.4741,50.0000,50.0000,50.0000,50.0000,7.3596,1.0000,1.0000,0.0000
18.8146,0.0509,18.2817,50.0000,50.0000,48.2901,50.0000,50.0000,50.0000,50.0000,7.8974,1.0000,1.0000,0.0000
19.3401,0.0445,17.3331,50.0000,50.0000,48.1137,50.0000,50.0000,50.0000,50.0000,7.8419,1.0000,1.0000,0.0000
19.3455,0.0652,16.3745,50.0000,50.0000,47.9372,50.0000,50.0000,50.0000,50.0000,8.7477,1.0000,1.0000,0.0000
19.5033,0.0689,15.4043,50.0000,50.0000,47.7851,50.0000,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,0.0000
19.8263,0.0665,14.4200,50.0000,50.0000,47.6406,50.0000,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,0.0000
20.0798,0.0740,13.4230,50.0000,50.0000,47.5220,50.0000,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,0.0000
20.3417,0.0663,12.4098,50.0000,50.0000,47.3918,50.0000,50.0000,50.0000,10.5738,50.0000,1.0000,1.0000,1.0000
20.6378,0.2213,11.3860,50.0000,50.0000,48.2048,50.0000,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,1.0000
20.6837,0.3713,10.3472,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,1.0000
20.7825,0.5182,9.3031,50.0000,50.0000,50.0000,48.9223,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,1.0000
20.6675,0.6826,8.2584,50.0000,50.0000,50.0000,47.3432,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,0.0000
20.8161,0.3685,39.0769,50.0000,50.0000,50.0000,47.3709,50.0000,50.0000,50.0000,50.0000,1.0000,1.0000,0.0000
20.6599,0.3769,38.0655,50.0000,50.0000,50.0000,47.3697,50.0000,50.0000,8.4702,50.0000,1.0000,1.0000,0.0000
20.6537,0.3815,37.0521,50.0000,50.0000,50.0000,47.4369,50.0000,50.0000,7.6291,50.0000,1.0000,1.0000,0.0000
20.6019,0.3893,36.0313,50.0000,50.0000,50.0000,47.5393,50.0000,50.0000,7.1537,50.0000,1.0000,1.0000,0.0000
20.8834,0.2854,35.0044,50.0000,50.0000,50.0000,48.2867,50.0000,50.0000,6.5842,50.0000,1.0000,1.0000,-1.0000
20.8317,0.1324,33.9578,50.0000,50.0000,50.0000,50.0000,50.0000,10.2861,6.4265,50.0000,1.0000,1.0000,-1.0000
21.2535,0.0069,32.9109,50.0000,50.0000,50.0000,50.0000,50.0000,6.9350,7.0238,50.0000,1.0000,1.0000,-1.0000
21.6784,-0.1459,31.8422,50.0000,50.0000,49.2778,50.0000,50.0000,5.6979,8.4449,50.0000,1.0000,1.0000,-1.0000
21.7462,-0.1872,30.7608,50.0000,50.0000,49.1861,50.0000,50.0000,5.3643,10.2872,50.0000,1.0000,1.0000,0.0000
22.1470,-0.1874,29.6696,50.0000,50.0000,49.4640,50.0000,50.0000,5.0496,10.9408,50.0000,1.0000,1.0000,0.0000
22.1587,-0.1756,28.5684,50.0000,50.0000,49.8526,50.0000,50.0000,4.9987,50.0000,50.0000,1.0000,1.0000,0.0000
